Preorder_ID,Booking_ID,Business_ID,Customer_ID,Total_Items,Items_Summary,Subtotal_INR,Tax_INR,Total_Amount_INR,Status,Created_At
6a898aa50dc339cc80c7854e,6a898aa50dc339cc80c7854d,1,2g1QbEA3gHdSrfp4AvXTKvou0F73,1,Butter Chicken (x1),450,22.5,472.5,confirmed,2026-08-22T11:40:21.720Z
6a8430834255d3c2cb3525dd,6a8430834255d3c2cb3525dc,6a65c2062d06e0714d0045fe,JfgzIie9ZLQu0TxLjN849v7Ed4E2,2,Mario Chicken Bao (x2),1700,85,1785,confirmed,2026-08-18T10:14:27.092Z
6a8326c499f7ac7c6692eb97,6a8326c499f7ac7c6692eb96,1,2g1QbEA3gHdSrfp4AvXTKvou0F73,2,Butter Chicken (x1); Naan (x1),500,25,525,confirmed,2026-08-17T15:20:36.232Z
6a75553cbcf61080fa3825cb,6a75553cbcf61080fa3825ca,6,tNhXtWeGmagRfkPrcRG0ck6byBo2,1,Chicken Burger (x1),220,11,231,confirmed,2026-08-07T03:47:08.743Z
6a75552dbcf61080fa3824fc,6a75552dbcf61080fa3824fb,3,OAfglRMxOiYJ6Qfj8YdYTbfCSEJ2,1,Chicken Biryani (x1),350,17.5,367.5,confirmed,2026-08-07T03:46:53.284Z
6a66206f05f1b197f3610119,6a66206f05f1b197f3610118,6a65c2062d06e0714d0045fe,YuMRWok48sSXHTjQ3FaPPpnpXFu2,2,Loco Nachos (x2),900,45,945,confirmed,2026-07-26T14:57:51.335Z
6a65d3c9ec6e0947f7acb464,6a65d3c9ec6e0947f7acb463,6a65c2062d06e0714d0045fe,JfgzIie9ZLQu0TxLjN849v7Ed4E2,2,Bullseye Potatoes (x1); Loco Nachos (x1),900,45,945,confirmed,2026-07-26T09:30:49.085Z
6a64aeaaa99714ccb149c576,6a64aeaaa99714ccb149c575,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-07-25T12:40:10.628Z
6a6373ba8d0844ea629bb9d4,6a6373ba8d0844ea629bb9d3,6980d6a6ae7ec40527e24999,JfgzIie9ZLQu0TxLjN849v7Ed4E2,1,Masala Dosa (x1),60,3,63,confirmed,2026-07-24T14:16:26.805Z
6a636e380c005208b4956ee8,6a636e380c005208b4956ee7,6980d6a6ae7ec40527e24999,JfgzIie9ZLQu0TxLjN849v7Ed4E2,1,Masala Dosa (x1),60,3,63,confirmed,2026-07-24T13:52:56.587Z
6a574043cde748388864072d,6a574043cde748388864072c,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Masala Dosa (x1),60,3,63,confirmed,2026-07-15T08:09:39.234Z
6a48df15bcc48458f3fd800e,6a48df15bcc48458f3fd800d,6980d6a6ae7ec40527e24999,JfgzIie9ZLQu0TxLjN849v7Ed4E2,1,Masala Dosa (x1),60,3,63,confirmed,2026-07-04T10:23:17.815Z
6a1009402f97e12fdd6e9f43,6a1009402f97e12fdd6e9f42,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-05-22T07:44:00.141Z
6a0ffb2f2f97e12fdd6e7203,6a0ffb2f2f97e12fdd6e7202,1,iZNzqEkit7PCKfDf8mJGI3sc2LM2,1,Butter Chicken (x1),450,22.5,472.5,confirmed,2026-05-22T06:43:59.949Z
6a0dea62b10611ba7e8f6771,6a0dea62b10611ba7e8f6770,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-05-20T17:07:46.239Z
6a0dbf270f527f34d620120f,6a0dbf270f527f34d620120e,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-05-20T14:03:19.101Z
6a0dbd97ffa00737e2820eb1,6a0dbd97ffa00737e2820eb0,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-05-20T13:56:39.578Z
6a0db3ea3be4c03d2689ebe2,6a0db3ea3be4c03d2689ebe1,1,2g1QbEA3gHdSrfp4AvXTKvou0F73,1,Butter Chicken (x1),450,22.5,472.5,confirmed,2026-05-20T13:15:22.903Z
6a03711b3c7ceddddc131e91,6a03711b3c7ceddddc131e90,1,iZNzqEkit7PCKfDf8mJGI3sc2LM2,1,Paneer Tikka (x1),350,17.5,367.5,confirmed,2026-05-12T18:27:39.334Z
6a00b8745449bdaab82de5d6,6a00b8745449bdaab82de5d5,6980d6a6ae7ec40527e24999,JfgzIie9ZLQu0TxLjN849v7Ed4E2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-05-10T16:55:16.550Z
69fec0d2e9986fc151c0f165,69fec0d2e9986fc151c0f164,6980d6a6ae7ec40527e24999,JfgzIie9ZLQu0TxLjN849v7Ed4E2,1,Masala Dosa (x1),60,3,63,confirmed,2026-05-09T05:06:26.235Z
69df6e804af430caf4dbe1aa,69df6e804af430caf4dbe1a9,1,cT87VYgv1hgukQT7ehEt7x9Eh6h2,2,Paneer Tikka (x2),700,35,735,confirmed,2026-04-15T10:54:56.461Z
69d4c5ed963346c2c377118d,69d4c5ed963346c2c377118c,1,OAfglRMxOiYJ6Qfj8YdYTbfCSEJ2,7,Butter Chicken (x1); Paneer Tikka (x1); Naan (x4); Veg Biryani (x1),1300,65,1365,confirmed,2026-04-07T08:53:01.755Z
69d3a296d0dcf4436e33a743,69d3a296d0dcf4436e33a742,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Masala Dosa (x1),60,3,63,confirmed,2026-04-06T12:09:58.330Z
69d10add826dd5c57c502f8e,69d10add826dd5c57c502f8d,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-04-04T12:58:05.866Z
69cd301588873a8409cae115,69cd301588873a8409cae114,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-04-01T14:47:49.159Z
69c7b4bda7e65a46fb2444bd,69c7b4bda7e65a46fb2444bc,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Masala Dosa (x1),60,3,63,confirmed,2026-03-28T11:00:13.766Z
69c2c6f08836d314f71dd7a0,69c2c6f08836d314f71dd79f,6980d6a6ae7ec40527e24999,OAfglRMxOiYJ6Qfj8YdYTbfCSEJ2,1,Masala Dosa (x1),60,3,63,confirmed,2026-03-24T17:16:32.617Z
69c20ec444142042c243de97,69c20ec444142042c243de96,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Dosa (x1),30,1.5,31.5,confirmed,2026-03-24T04:10:44.807Z
69c16176f298f2956b1efdc2,69c16176f298f2956b1efdc1,6980d6a6ae7ec40527e24999,cT87VYgv1hgukQT7ehEt7x9Eh6h2,1,Masala Dosa (x1),60,3,63,confirmed,2026-03-23T15:51:18.703Z
