Master_Booking_ID,Channel,Venue_Name,Neighborhood,City,Selection_Method,Seat_Or_Table,Party_Size,Date,Time,Status,Revenue_INR,Created_At
6a898a960f1f6ad24c064331,Table Reservation,Spice Garden,"MG Road, Bangalore",Bangalore,Visual Floor Plan,T2,2,2026-08-22,7:30 PM,confirmed,450,2026-08-22T11:40:05.897Z
6a8430760f1f6ad24c060b7b,Table Reservation,Loco Lane,"Koramangala, Bangalore",Bangalore,Visual Floor Plan,T4,2,2026-08-18,7:30 PM,cancelled,0,2026-08-18T10:14:14.436Z
6a8326960f1f6ad24c05f859,Table Reservation,Spice Garden,"MG Road, Bangalore",Bangalore,Visual Floor Plan,T4,3,2026-08-18,7:00 PM,confirmed,450,2026-08-17T15:19:50.615Z
6a7693d0f045bda74185e2fa,Table Reservation,Loco Lane,"Koramangala, Bangalore",Bangalore,Visual Floor Plan,T1,2,2026-08-08,10:30 PM,reserved,0,2026-08-08T02:26:24.117Z
6a755531f045bda74185dbe7,Table Reservation,Burger Junction,"Marathahalli, Bangalore",Bangalore,Visual Floor Plan,T6,2,2026-08-07,9:30 PM,confirmed,275,2026-08-07T03:46:57.456Z
6a755508f045bda74185dbe6,Table Reservation,Biryani House,"Koramangala, Bangalore",Bangalore,Visual Floor Plan,T7,3,2026-08-07,1:30 PM,confirmed,350,2026-08-07T03:46:16.671Z
6a66204c9d97788cef0371b4,Table Reservation,Loco Lane,"Koramangala, Bangalore",Bangalore,Visual Floor Plan,T3,2,2026-07-26,9:00 PM,confirmed,550,2026-07-26T14:57:16.306Z
6a65d3bc9d97788cef035e4a,Table Reservation,Loco Lane,"Koramangala, Bangalore",Bangalore,Visual Floor Plan,T3,2,2026-07-26,6:00 PM,cancelled,0,2026-07-26T09:30:36.144Z
6a64ae9c9d97788cef032bcf,Table Reservation,Bombay Brasserie,"Indiranagar, Bangalore",Bangalore,Visual Floor Plan,T3,2,2026-07-25,Night,confirmed,600,2026-07-25T12:39:56.343Z
6a636e2f9d97788cef03157d,Table Reservation,Bombay Brasserie,"Indiranagar, Bangalore",Bangalore,Visual Floor Plan,T4,2,2026-07-24,Night,cancelled,0,2026-07-24T14:16:17.272Z
6a5740097e8b8b22c3218731,Table Reservation,Bombay Brasserie,"Indiranagar, Bangalore",Bangalore,Visual Floor Plan,T5,2,2026-07-15,Afternoon,cancelled,0,2026-07-15T08:08:41.653Z
6a48df0641b363de0ab927b2,Table Reservation,Bombay Brasserie,"Indiranagar, Bangalore",Bangalore,Visual Floor Plan,T5,2,2026-07-04,Night,cancelled,0,2026-07-04T10:23:02.850Z
6a100903565b3dfd731e1f0d,Table Reservation,Bombay Brasserie,"Indiranagar, Bangalore",Bangalore,Visual Floor Plan,T3,2,2026-05-22,Evening,cancelled,0,2026-05-22T07:42:59.150Z
6a0ffccd565b3dfd731e1ece,Table Reservation,Pizza Paradise,"Whitefield, Bangalore",Bangalore,Visual Floor Plan,T8,2,2026-05-22,7:00 PM,reserved,0,2026-05-22T06:50:53.362Z
6a0ffb14565b3dfd731e1ec6,Table Reservation,Spice Garden,"MG Road, Bangalore",Bangalore,Visual Floor Plan,T4,2,2026-05-22,8:00 PM,confirmed,450,2026-05-22T06:43:32.808Z
6a0dea4d565b3dfd731e097d,Table Reservation,Bombay Brasserie,"Indiranagar, Bangalore",Bangalore,Visual Floor Plan,T5,2,2026-05-20,Night,cancelled,0,2026-05-20T17:07:25.660Z
